no,short_code,question_en,question_kh,description,unit_en,unit_kh,group_en,group_kh,validate_rule
53.f,F18_Mig_In,# of people who under 18 migrating in other places (local migrate),"ចំនួនមនុស្សអាយុ <span class=text-danger"">ក្រោម18</span>ឆ្នាំចំណាកស្រុកក្នុងប្រទេស""","# Girls above 18, whose primary occupation is migrating to work nationally",People,នាក់,migration,ចំណាកស្រុក,
53.a,TOT_M_Mig_In,Total people who is migrating other places (local migrate),ចំនួនមនុស្សចំណាកស្រុកក្នុងប្រទេស,# Total of men who migrate nationally,People,នាក់,migration,ចំណាកស្រុក,
53.a.f,TOT_F_Mig_In,Total people who is migrating other places (local migrate),ចំនួនមនុស្សចំណាកស្រុកក្នុងប្រទេស,# Total of women who migrate nationally,People,នាក់,migration,ចំណាកស្រុក,
54,M18_Mig_Out,# of people who under 18 migrating abroad (other countries),"ចំនួនមនុស្សអាយុ <span class=text-danger"">ក្រោម18</span>ឆ្នាំចំណាកស្រុកក្នុងប្រទេស""","# Boys above 18, whose primary occupation is migrating to work internationally",People,នាក់,migration,ចំណាកស្រុក,
54.f,F18_Mig_Out,# of people who under 18 migrating abroad (other countries),"ចំនួនមនុស្សអាយុ <span class=text-danger"">ក្រោម18</span>ឆ្នាំចំណាកស្រុកក្នុងប្រទេស""","# Girls above 18, whose primary occupation is migrating to work internationally",People,នាក់,migration,ចំណាកស្រុក,
54.a,TOT_M_Mig_Out,Total people who is migrating abroad,ចំនួនមនុស្សចំណាកស្រុកក្រៅប្រទេស,# Total of men who migrate internationally,People,នាក់,migration,ចំណាកស្រុក,
54.a.f,TOT_F_Mig_Out,Total people who is migrating abroad,ចំនួនមនុស្សចំណាកស្រុកក្រៅប្រទេស,# Total of women who migrate internationally,People,នាក់,migration,ចំណាកស្រុក,
55,Rice_Mills,Total location of medium or large -scale rice mills,សរុបចំនួនទីតាំងម៉ាស៊ីនកិនស្រូវមធ្យមនិងធំ,# of medium or large -scale rice mills,Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
55.a,T_Worker_R_Mills,Total location of medium or large -scale rice mills,សរុបចំនួនទីតាំងម៉ាស៊ីនកិនស្រូវមធ្យមនិងធំ,# total of workers employed in medium or large -scale rice mills,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
55.b,Fe_R_Mills,Total location of medium or large -scale rice mills,សរុបចំនួនទីតាំងម៉ាស៊ីនកិនស្រូវមធ្យមនិងធំ,# of FEMALE workers employed in medium or large -scale rice mills,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
55.1,Rice_Mills_M,# location of medium scale rice mills,ចំនួនទីតាំងម៉ាស៊ីនកិនស្រូវខ្នាតមធ្យម,# of medium scale rice mills,Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
55.1.a,T_Worker_R_Mills_M,# location of medium scale rice mills,ចំនួនទីតាំងម៉ាស៊ីនកិនស្រូវខ្នាតមធ្យម,# total of workers employed in medium scale rice mills,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
55.1.b,Fe_R_Mills_M,# location of medium scale rice mills,ចំនួនទីតាំងម៉ាស៊ីនកិនស្រូវខ្នាតមធ្យម,# of FEMALE workers employed in medium scale rice mills,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
55.2,Rice_Mills_L,# location of large scale rice mills,ចំនួនទីតាំងម៉ាស៊ីនកិនស្រូវខ្នាតធុនធំ,# of large scale rice mills,Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
55.2.a,T_Worker_R_Mills_L,# location of large scale rice mills,ចំនួនទីតាំងម៉ាស៊ីនកិនស្រូវខ្នាតធុនធំ,# total of workers employed in large scale rice mills,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
55.2.b,Fe_R_Mills_L,# location of large scale rice mills,ចំនួនទីតាំងម៉ាស៊ីនកិនស្រូវខ្នាតធុនធំ,# of FEMALE workers employed in large scale rice mills,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
56,Elec_Station,# location of generator providing electricity,ចំនួនទីតាំងម៉ាស៊ីនភ្លើងសំរាប់ធ្វើអាជីវកម្មផ្តល់ថាមពលអគ្គីសនី,# of electric generating stations,Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
56.a,T_Worker_E_Station,# location of generator providing electricity,ចំនួនទីតាំងម៉ាស៊ីនភ្លើងសំរាប់ធ្វើអាជីវកម្មផ្តល់ថាមពលអគ្គីសនី,# total of workers employed in electric generating stations,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
56.b,Fe_Elec_Station,# location of generator providing electricity,ចំនួនទីតាំងម៉ាស៊ីនភ្លើងសំរាប់ធ្វើអាជីវកម្មផ្តល់ថាមពលអគ្គីសនី,# of FEMALE workers employed in electric generating stations,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
57,Brick_Pro,# location of Brick Kiln production,ចំនួនទីតាំង សិប្បកម្មឡអិដ្ឋ,# of brick kiln production locations,Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
57.a,T_Worker_Brick_Pro,# location of Brick Kiln production,ចំនួនទីតាំង សិប្បកម្មឡអិដ្ឋ,# total of workers employed in brick kiln production locations,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
57.b,Fe_Brick_Pro,# location of Brick Kiln production,ចំនួនទីតាំង សិប្បកម្មឡអិដ្ឋ,# of FEMALE workers employed in brick kiln production locations,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
58,Salt_Pro,# location of salt production,ចំនួនទីតាំង ផលិតអំបិល,# of salt production locations,Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
58.a,T_Worker_Salt_Pro,# location of salt production,ចំនួនទីតាំង ផលិតអំបិល,# total of workers employed in salt production locations,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
58.b,Fe_Salt_Pro,# location of salt production,ចំនួនទីតាំង ផលិតអំបិល,# of FEMALE workers employed in salt production locations,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
59,Woven_Crafts,"# location of handicraft waving scarf. Houls, Phamoung",ចំនួនទីតាំង ត្បាញក្រម៉ា ហូល ផាមួង,"# of handicrafts lovations making weaving scarf, houls, phamoung",Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
59.a,T_Workers_Woven,"# location of handicraft waving scarf. Houls, Phamoung",ចំនួនទីតាំង ត្បាញក្រម៉ា ហូល ផាមួង,"# total of workers employed in handicrafts lovations making weaving scarf, houls, phamoung",People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
59.b,Fe-Woven-Crafts,"# location of handicraft waving scarf. Houls, Phamoung",ចំនួនទីតាំង ត្បាញក្រម៉ា ហូល ផាមួង,"# of FEMALE workers employed in handicrafts locations making weaving scarf, houls, phamoung",People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
60,Ratan_Crafts,"# location of caiving from wooden, rattan, vine, and bamboo",ចំនួនទីតាំង សិប្បកម្មផលិត ពីផ្តៅ វល្លិ៍ រពាក់ ឬស្សី,# of handicrafts locations making  wood/ratan handicrafts ,Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
60.a,T_Worker_Ratan,"# location of caiving from wooden, rattan, vine, and bamboo",ចំនួនទីតាំង សិប្បកម្មផលិត ពីផ្តៅ វល្លិ៍ រពាក់ ឬស្សី,# total of workers employed in handicrafts locations making  wood/ratan handicrafts,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
60.b,Fe_Ratan_Crafts,"# location of caiving from wooden, rattan, vine, and bamboo",ចំនួនទីតាំង សិប្បកម្មផលិត ពីផ្តៅ វល្លិ៍ រពាក់ ឬស្សី,# of FEMALE workers employed in handicrafts locations making  wood/ratan handicrafts,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
61,Fur_Crafts,# location of wooden furniture product,ចំនួនទីតាំង សិប្បកម្មផលិត គ្រឿងសង្ហារឹមពីឈើ,# of handicrafts location making  wood furniture ,Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
61.a,T-Worker_Fur,# location of wooden furniture product,ចំនួនទីតាំង សិប្បកម្មផលិត គ្រឿងសង្ហារឹមពីឈើ,# total of workers employed in handicrafts locations making  wood furniture,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
61.b,Fe_Fur_Crafts,# location of wooden furniture product,ចំនួនទីតាំង សិប្បកម្មផលិត គ្រឿងសង្ហារឹមពីឈើ,# of FEMALE workers employed in handicrafts locations making  wood furniture,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
62,Metal-Crafts,"# location of stone, sulphur, leather production",ចំនួនទីតាំង សិប្បកម្មផលិត ចម្លាក់ធ្វើពីថ្ម ស្ពាន់ ស្បែក,"# of handicrafts locations making stone, metal, leathers",Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
62.a,T-Worker_Metal,"# location of stone, sulphur, leather production",ចំនួនទីតាំង សិប្បកម្មផលិត ចម្លាក់ធ្វើពីថ្ម ស្ពាន់ ស្បែក,"# total of workers employed in handicrafts locations making stone, metal, leathers",People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
62.b,Fe_Metal_Crafts,"# location of stone, sulphur, leather production",ចំនួនទីតាំង សិប្បកម្មផលិត ចម្លាក់ធ្វើពីថ្ម ស្ពាន់ ស្បែក,"# of FEMALE workers employed in handicrafts locations making stone, metal, leathers",People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
63,Iron_Crafts,"# location of steel, aluminium, glass goods",ចំនួនទីតាំង សិប្បកម្មផលិត ពីដែក អាលុយមីញូម កញ្ចក់,"# of handicrafts locations making of  iron, aluminum, glass products",Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
63.a,T_Worker_Iron,"# location of steel, aluminium, glass goods",ចំនួនទីតាំង សិប្បកម្មផលិត ពីដែក អាលុយមីញូម កញ្ចក់,"# total of workers employed in handicrafts locations making iron, aluminum, glass products",People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
63.b,Fe_Iron_Crafts,"# location of steel, aluminium, glass goods",ចំនួនទីតាំង សិប្បកម្មផលិត ពីដែក អាលុយមីញូម កញ្ចក់,"# of FEMALE workers employed in handicrafts locations making iron, aluminum, glass products",People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
64,Pla_Crafts,"# location of plastic production (basin, tab. bottles )",ចំនួនទីតាំង សិប្បកម្មផលិត ពីជ័រ (ធុងទឹក ទុយោ ដប...),"# of handicrafts locations making products from plastics (basin, tape, bottles)",Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
64.a,T_Worker_Pla,"# location of plastic production (basin, tab. bottles )",ចំនួនទីតាំង សិប្បកម្មផលិត ពីជ័រ (ធុងទឹក ទុយោ ដប...),"# total of workers employed in handicrafts locations making  product from plastics (basin, tape, bottles)",People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
64.b,Fe_Pla_Crafts,"# location of plastic production (basin, tab. bottles )",ចំនួនទីតាំង សិប្បកម្មផលិត ពីជ័រ (ធុងទឹក ទុយោ ដប...),"# of FEMALE workers employed in handicrafts locations making  product from plastics (basin, tape, bottles)",People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
65,Bottle_Crafts,# location of pure water production,ចំនួនទីតាំង សិប្បកម្មផលិត ទឹកសុទ្ធ,# of handicrafts locations making  bottled water,Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
65.a,T_Worker_Bottle,# location of pure water production,ចំនួនទីតាំង សិប្បកម្មផលិត ទឹកសុទ្ធ,# total of workers employed in handicrafts locations making  bottled water,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
65.b,Fe_Bottle_Crafts,# location of pure water production,ចំនួនទីតាំង សិប្បកម្មផលិត ទឹកសុទ្ធ,# of FEMALE workers employed in handicrafts locations making  bottled water,People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
66,Food_Pro,"# location of process or packaging cereal (cake noodle noodle, sauce, fruit juice)",ចំនួនទីតាំង សិប្បកម្មកែឆ្នៃ ឬវិចខ្ជប់គ្រាប់ធញ្ញជាតិ (នំ គុយទាវ មី ទឹកស៊ីអ៊ីវ ទឹកផ្លែឈើ...),"# of locations processing or packing food products (Cakes, Chinese noodles, noodles, soy sources, fruit juices) ",Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
66.a,T_Worker_Food,"# location of process or packaging cereal (cake noodle noodle, sauce, fruit juice)",ចំនួនទីតាំង សិប្បកម្មកែឆ្នៃ ឬវិចខ្ជប់គ្រាប់ធញ្ញជាតិ (នំ គុយទាវ មី ទឹកស៊ីអ៊ីវ ទឹកផ្លែឈើ...),"# total of workers employed in locations processing or packing food products (Cakes, Chinese noodles, noodles, soy sources, fruit juices) ",People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
66.b,Fe_Food-Crafts,"# location of process or packaging cereal (cake noodle noodle, sauce, fruit juice)",ចំនួនទីតាំង សិប្បកម្មកែឆ្នៃ ឬវិចខ្ជប់គ្រាប់ធញ្ញជាតិ (នំ គុយទាវ មី ទឹកស៊ីអ៊ីវ ទឹកផ្លែឈើ...),"# of FEMALE workers employed in locations processing or packing food products (Cakes, Chinese noodles, noodles, soy sources, fruit juices) ",People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
67,Fish_Pro,"# location of process or packaging fish (sauce, fish- paste, dry fished.)",ចំនួនទីតាំង សិប្បកម្មកែឆ្នៃ វិចខ្ជប់ផលនេសាទ (ទឹកត្រី ប្រហុក ត្រីងៀត...),"# of locations making fish products (fish sauces, fish-paste, dry fish...)",Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
67.a,T_Worker_Fish,"# location of process or packaging fish (sauce, fish- paste, dry fished.)",ចំនួនទីតាំង សិប្បកម្មកែឆ្នៃ វិចខ្ជប់ផលនេសាទ (ទឹកត្រី ប្រហុក ត្រីងៀត...),"# total of workers employed in locations making fish products (fish sauces, fish-paste, dry fish...)",People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
67.b,Fe_Fish_Crafts,"# location of process or packaging fish (sauce, fish- paste, dry fished.)",ចំនួនទីតាំង សិប្បកម្មកែឆ្នៃ វិចខ្ជប់ផលនេសាទ (ទឹកត្រី ប្រហុក ត្រីងៀត...),"# of FEMALE workers employed in locations making fish products (fish sauces, fish-paste, dry fish...)",People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
68,Oth_Crafts,# location of other handicrafts without mentioned above,ចំនួនទីតាំង សិប្បកម្ម ផ្សេងៗដ៏ទៃទៀត ដែលគ្មានឈ្មោះខាងលើ,"# of other handicrafts locations, not mentioned above",Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
68.a,T-Worker_Oth,# location of other handicrafts without mentioned above,ចំនួនទីតាំង សិប្បកម្ម ផ្សេងៗដ៏ទៃទៀត ដែលគ្មានឈ្មោះខាងលើ,"# total of workers employed in other handicrafts locations, not mentioned above",People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
68.b,Fe_Oth_Crafts,# location of other handicrafts without mentioned above,ចំនួនទីតាំង សិប្បកម្ម ផ្សេងៗដ៏ទៃទៀត ដែលគ្មានឈ្មោះខាងលើ,"# of FEMALE workers employed in other handicrafts locations, not mentioned above",People,នាក់,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
69,Super_Markets,# location of supermarket,ចំនួនទីតាំង ផ្សារទំនើប,# of modern supermarkets ,Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
70,Medi_Markets,# location of medium market (usually sell whole day),ចំនួនទីតាំង ផ្សារមធ្យម (ផ្សារធម្មតាតែលក់ពេញមួយថ្ងៃ),# of medium-markets (normally sell whole day),Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
71,Sm_Markets,# location of small market (sell on the morning or afternoon),ចំនួនទីតាំង ផ្សារខ្នាតតូច (ផ្សារលក់តែមួយព្រឹកឬល្ងាច),# of small-markets (Sold only in the morning or evening),Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
72,Nig_Makets,# location of night market (sell at the evening only),ចំនួនទីតាំង ផ្សាររាត្រី (ផ្សារលក់តែពេលយប់),# of night markets (sold only in the night time),Location,កន្លែង,Production-service,អាជីវកម្មផ្នែកសេវាកម្ម,
73,Sm_food_Shop,# location of small scale food and goods shops,ចំនួនទីតាំងលក់គ្រឿងបរិភោគនិងទំនិញប្រើប្រាស់,"# of small -scale service food shop business (groceries, goods product)",Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
73.a,T_Worker_f_Shop,# location of small scale food and goods shops,ចំនួនទីតាំងលក់គ្រឿងបរិភោគនិងទំនិញប្រើប្រាស់,"# total of workers employed in small -scale service food shop business (groceries, goods product)",People,នាក់,store,ទីតាំងលក់ទំនិញ,
73.b,Fe_Food_Shop,# location of small scale food and goods shops,ចំនួនទីតាំងលក់គ្រឿងបរិភោគនិងទំនិញប្រើប្រាស់,"# of FEMALE workers employed in small -scale service food shop business (groceries, goods product)",People,នាក់,store,ទីតាំងលក់ទំនិញ,
74,Sel_Clothes,"# location selling clothes, shoes, perfume",ចំនួនទីតាំងលក់ខោអាវស្បែកជើង និងគ្រឿងក្រអូប,"# of locations selling clothes, shoe (s), perfumes",Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
74.a,T_Worker_Sel_Clothes,"# location selling clothes, shoes, perfume",ចំនួនទីតាំងលក់ខោអាវស្បែកជើង និងគ្រឿងក្រអូប,"# total of workers employed in locations selling clothes, shoe (s), perfumes",People,នាក់,store,ទីតាំងលក់ទំនិញ,
74.b,Fe_Sel_Clothes,"# location selling clothes, shoes, perfume",ចំនួនទីតាំងលក់ខោអាវស្បែកជើង និងគ្រឿងក្រអូប,"# of FEMALE workers employed in locations selling clothes, shoe (s), perfumes",People,នាក់,store,ទីតាំងលក់ទំនិញ,
75,Jew_Pros,# location selling jewelry products,ចំនួនទីតាំងលក់គ្រឿងអលង្ការ,# of locations selling jewelry products,Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
75.a,T_Worker_Jew,# location selling jewelry products,ចំនួនទីតាំងលក់គ្រឿងអលង្ការ,# total of workers employed in locations selling jewelry products,People,នាក់,store,ទីតាំងលក់ទំនិញ,
75.b,Fe_Jew_Pros,# location selling jewelry products,ចំនួនទីតាំងលក់គ្រឿងអលង្ការ,# of FEMALE workers employed in locations selling jewelry products,People,នាក់,store,ទីតាំងលក់ទំនិញ,
76,Elec_Equip,# location selling electronic equipment,ចំនួនទីតាំងលក់គ្រឿងអេឡិចត្រូនិច,# of locations selling electronic equipments,Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
76.a,T-Worker-Elec,# location selling electronic equipment,ចំនួនទីតាំងលក់គ្រឿងអេឡិចត្រូនិច,# total of workers employed in locations selling electronic equipments,People,នាក់,store,ទីតាំងលក់ទំនិញ,
76.b,Fe-Elec_Equip,# location selling electronic equipment,ចំនួនទីតាំងលក់គ្រឿងអេឡិចត្រូនិច,# of FEMALE workers employed in locations selling electronic equipments,People,នាក់,store,ទីតាំងលក់ទំនិញ,
77,Sel_Furniture,# location selling furniture products,ចំនួនទីតាំងលក់គ្រឿង តុ ទូរ កៅអី (គ្រឿងសង្ហារឹម),"# of locations selling table, closet, chairs (furniture)",Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
77.a,T_Worker_Fur,# location selling furniture products,ចំនួនទីតាំងលក់គ្រឿង តុ ទូរ កៅអី (គ្រឿងសង្ហារឹម),"# total of workers employed in locations selling table, closet, chairs (furniture)",People,នាក់,store,ទីតាំងលក់ទំនិញ,
77.b,Fe_Sel_Furniture,# location selling furniture products,ចំនួនទីតាំងលក់គ្រឿង តុ ទូរ កៅអី (គ្រឿងសង្ហារឹម),"# of FEMALE workers employed in locations selling table, closet, chairs (furniture)",People,នាក់,store,ទីតាំងលក់ទំនិញ,
78,Const_Material,# location selling construction matenal,ចំនួនទីតាំងលក់សំភារៈសំណង់,# of locations selling construction materials,Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
78.a,T-Worker_Const,# location selling construction matenal,ចំនួនទីតាំងលក់សំភារៈសំណង់,# of workers employed in locations selling construction materials,People,នាក់,store,ទីតាំងលក់ទំនិញ,
78.b,Fe_Const_Material,# location selling construction matenal,ចំនួនទីតាំងលក់សំភារៈសំណង់,# of FEMALE workers employed in locations selling construction materials,People,នាក់,store,ទីតាំងលក់ទំនិញ,
79,Station_Sports,# location selling stationenes and sports product,ចំនួនទីតាំងលក់សំភារៈការិយាល័យសិក្សា និងកីឡា,# of location selling stationeries and sports product,Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
79.a,T-Worker_S_S,# location selling stationenes and sports product,ចំនួនទីតាំងលក់សំភារៈការិយាល័យសិក្សា និងកីឡា,# total of workers employed in location selling stationeries and sports product,People,នាក់,store,ទីតាំងលក់ទំនិញ,
79.b,Fe_Station_Sports,# location selling stationenes and sports product,ចំនួនទីតាំងលក់សំភារៈការិយាល័យសិក្សា និងកីឡា,# of FEMALE workers employed in location selling stationeries and sports product,People,នាក់,store,ទីតាំងលក់ទំនិញ,
80,Hair_Services,# location of small-scale services (hair cut massage.),ចំនួនទីតាំងសេវាកម្មខ្នាតតូច (កាត់សក់ ម៉ាស្សា...),"# of small-scale services (hair cut, massage….)",Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
80.a,T-Worker_Hair,# location of small-scale services (hair cut massage.),ចំនួនទីតាំងសេវាកម្មខ្នាតតូច (កាត់សក់ ម៉ាស្សា...),"# total of workers employed in small-scale services (hair cut, massage….)",People,នាក់,store,ទីតាំងលក់ទំនិញ,
80.b,Fe_Hair_Services,# location of small-scale services (hair cut massage.),ចំនួនទីតាំងសេវាកម្មខ្នាតតូច (កាត់សក់ ម៉ាស្សា...),"# of FEMALE workers employed in small-scale services (hair cut, massage….)",People,នាក់,store,ទីតាំងលក់ទំនិញ,
81,Food_Services,"# location of small scale service (meals. Chinese noodle, groceries, soft drink..)",ចំនួនទីតាំងអាជីវកម្មខ្នាតតូច (លក់បាយ គុយទាវ គ្រឿងទេស ភេសជ្ជៈ...),"# of small-scale services (food, groceries, drinks...)",Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
81.a,T_Worker_Small_Food,"# location of small scale service (meals. Chinese noodle, groceries, soft drink..)",ចំនួនទីតាំងអាជីវកម្មខ្នាតតូច (លក់បាយ គុយទាវ គ្រឿងទេស ភេសជ្ជៈ...),"# total of workers employed in small-scale services (food, groceries, drinks...)",People,នាក់,store,ទីតាំងលក់ទំនិញ,
81.b,Fe_Food_Services,"# location of small scale service (meals. Chinese noodle, groceries, soft drink..)",ចំនួនទីតាំងអាជីវកម្មខ្នាតតូច (លក់បាយ គុយទាវ គ្រឿងទេស ភេសជ្ជៈ...),"# of FEMALE workers employed in small-scale services (food, groceries, drinks...)",People,នាក់,store,ទីតាំងលក់ទំនិញ,
82,Restur_Loc,# location of restaurants,ចំនួនទីតាំងភោជនីយដ្ឋាន,# of restaurants,Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
82.a,T-Worker-Restur,# location of restaurants,ចំនួនទីតាំងភោជនីយដ្ឋាន,# total of workers employed in restaurants,People,នាក់,store,ទីតាំងលក់ទំនិញ,
82.b,Fe_Restur_Loc,# location of restaurants,ចំនួនទីតាំងភោជនីយដ្ឋាន,# of FEMALE workers employed in restaurants,People,នាក់,store,ទីតាំងលក់ទំនិញ,
83,Repair_Motors,"# location of repaired or sell bicycles, motorbike",ចំនួនទីតាំងជួសជុលឬលក់គ្រឿងកង់ ម៉ូតូ,"# of locations repaired bicycles, motorbike",Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
83.a,T_Repaire_Motors,"# location of repaired or sell bicycles, motorbike",ចំនួនទីតាំងជួសជុលឬលក់គ្រឿងកង់ ម៉ូតូ,"# total of workers employed in locations repaired bicycles, motorbike",People,នាក់,store,ទីតាំងលក់ទំនិញ,
83.b,Fe_Emp_R_Motors,"# location of repaired or sell bicycles, motorbike",ចំនួនទីតាំងជួសជុលឬលក់គ្រឿងកង់ ម៉ូតូ,"# of FEMALE workers employed in locations repaired bicycles, motorbike",People,នាក់,store,ទីតាំងលក់ទំនិញ,
84,Repaire_Agr_Mach,# location of repaired or sell machines and argriculture instruments,ចំនួនកន្លែងជួសជុល ឬលក់គ្រឿងយន្ត និងឧបករណ៍កសិកម្ម,# of locations repaired machines and Arg. instruments,Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
84.a,T-Worker_Agr_Mach,# location of repaired or sell machines and argriculture instruments,ចំនួនកន្លែងជួសជុល ឬលក់គ្រឿងយន្ត និងឧបករណ៍កសិកម្ម,# total of workers employed in locations repaired machines and Arg. instruments,People,នាក់,store,ទីតាំងលក់ទំនិញ,
84.b,Fe_Emp_Arg_Mach,# location of repaired or sell machines and argriculture instruments,ចំនួនកន្លែងជួសជុល ឬលក់គ្រឿងយន្ត និងឧបករណ៍កសិកម្ម,# of FEMALE workers employed in locations repaired machines and Arg. instruments,People,នាក់,store,ទីតាំងលក់ទំនិញ,
85,Repair_Elec_Equi,# location of repaired electronic equipment,ចំនួនកន្លែងជួសជុល គ្រឿងអេឡិចត្រូនិច,# of locations repaired electronic equipments,Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
85.a,T-Woker_R_Elec,# location of repaired electronic equipment,ចំនួនកន្លែងជួសជុល គ្រឿងអេឡិចត្រូនិច,# total of workers employed in locations repaired electronic equipments,People,នាក់,store,ទីតាំងលក់ទំនិញ,
85.b,Fe_Emp_R_Elec,# location of repaired electronic equipment,ចំនួនកន្លែងជួសជុល គ្រឿងអេឡិចត្រូនិច,# of FEMALE workers employed in locations repaired electronic equipments,People,នាក់,store,ទីតាំងលក់ទំនិញ,
86,Drug_Stores,# location of pharmacies and small drug stores,ចំនួនទីតាំងឱសថស្ថាន និង ឱសថស្ថានរង,# of pharmacies and small drug stores,Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
86.a,T_Worker_D_Stores,# location of pharmacies and small drug stores,ចំនួនទីតាំងឱសថស្ថាន និង ឱសថស្ថានរង,# total of workers employed in pharmacies and small drug stores,People,នាក់,store,ទីតាំងលក់ទំនិញ,
86.b,Fe_Emp_D_Stores,# location of pharmacies and small drug stores,ចំនួនទីតាំងឱសថស្ថាន និង ឱសថស្ថានរង,# of FEMALE workers employed in pharmacies and small drug stores,People,នាក់,store,ទីតាំងលក់ទំនិញ,
87,H_Clinics,# location of health clinic,ចំនួនទីតាំងគ្លីនីក,# of health clinics,Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
87.a,T_Worker_H_Clini,# location of health clinic,ចំនួនទីតាំងគ្លីនីក,# total of workers employed in health clinics,People,នាក់,store,ទីតាំងលក់ទំនិញ,
87.b,Fe_Emp_H_Clini,# location of health clinic,ចំនួនទីតាំងគ្លីនីក,# of FEMALE workers employed in health clinics,People,នាក់,store,ទីតាំងលក់ទំនិញ,
